18/03/2022 11:38:21 3: Training loss is: 2.638; Testing loss is: 8.007
18/03/2022 11:39:29 3: Training loss is: 0.010; Testing loss is: 0.048
18/03/2022 11:40:45 3: Training loss is: 0.004; Testing loss is: 0.054
18/03/2022 11:42:19 3: Training loss is: 0.010; Testing loss is: 0.036
18/03/2022 11:44:02 3: Training loss is: 0.009; Testing loss is: 0.055
18/03/2022 11:46:02 3: Training loss is: 0.006; Testing loss is: 0.024
18/03/2022 11:48:11 3: Training loss is: 0.012; Testing loss is: 0.085
18/03/2022 11:50:37 3: Training loss is: 0.011; Testing loss is: 0.031
18/03/2022 11:53:14 3: Training loss is: 0.008; Testing loss is: 0.035
18/03/2022 11:56:06 3: Training loss is: 0.027; Testing loss is: 0.018
18/03/2022 11:59:07 3: Training loss is: 0.018; Testing loss is: 0.105
18/03/2022 12:02:24 3: Training loss is: 0.009; Testing loss is: 0.032
18/03/2022 12:05:50 3: Training loss is: 0.015; Testing loss is: 0.041
18/03/2022 12:09:43 3: Training loss is: 0.017; Testing loss is: 0.041
18/03/2022 12:13:36 3: Training loss is: 0.014; Testing loss is: 0.022
18/03/2022 12:17:41 3: Training loss is: 0.023; Testing loss is: 0.164
18/03/2022 12:21:53 3: Training loss is: 0.011; Testing loss is: 0.011
18/03/2022 12:26:22 3: Training loss is: 0.019; Testing loss is: 0.017
18/03/2022 12:30:59 3: Training loss is: 0.011; Testing loss is: 0.070
18/03/2022 12:35:53 3: Training loss is: 0.016; Testing loss is: 0.016
18/03/2022 12:41:02 3: Training loss is: 0.008; Testing loss is: 0.047
18/03/2022 12:46:26 3: Training loss is: 0.011; Testing loss is: 0.077
18/03/2022 12:51:55 3: Training loss is: 0.036; Testing loss is: 0.003
18/03/2022 12:57:40 3: Training loss is: 0.024; Testing loss is: 0.005
18/03/2022 13:03:38 3: Training loss is: 0.005; Testing loss is: 0.006
18/03/2022 13:10:27 3: Training loss is: 0.011; Testing loss is: 0.007
18/03/2022 13:17:17 3: Training loss is: 0.048; Testing loss is: 0.028
18/03/2022 13:23:52 3: Training loss is: 0.029; Testing loss is: 0.008
18/03/2022 13:30:36 3: Training loss is: 0.013; Testing loss is: 0.039
18/03/2022 13:37:36 3: Training loss is: 0.011; Testing loss is: 0.050
18/03/2022 13:44:43 3: Training loss is: 0.009; Testing loss is: 0.001
18/03/2022 13:52:08 3: Training loss is: 0.015; Testing loss is: 0.006
18/03/2022 13:59:41 3: Training loss is: 0.012; Testing loss is: 0.144
18/03/2022 14:07:31 3: Training loss is: 0.016; Testing loss is: 0.039
18/03/2022 14:15:30 3: Training loss is: 0.008; Testing loss is: 0.023
18/03/2022 14:23:46 3: Training loss is: 0.007; Testing loss is: 0.014
18/03/2022 14:32:26 3: Training loss is: 0.008; Testing loss is: 0.002
18/03/2022 14:41:55 3: Training loss is: 0.014; Testing loss is: 0.031
18/03/2022 14:51:01 3: Training loss is: 0.016; Testing loss is: 0.053
18/03/2022 15:00:10 3: Training loss is: 0.009; Testing loss is: 0.037
18/03/2022 15:09:28 3: Training loss is: 0.013; Testing loss is: 0.021
18/03/2022 15:19:01 3: Training loss is: 0.034; Testing loss is: 0.112
18/03/2022 15:28:40 3: Training loss is: 0.007; Testing loss is: 0.019
18/03/2022 15:38:39 3: Training loss is: 0.032; Testing loss is: 0.007
18/03/2022 15:48:45 3: Training loss is: 0.008; Testing loss is: 0.049
18/03/2022 15:59:08 3: Training loss is: 0.026; Testing loss is: 0.048
18/03/2022 16:09:36 3: Training loss is: 0.013; Testing loss is: 0.007
18/03/2022 16:20:25 3: Training loss is: 0.008; Testing loss is: 0.014
18/03/2022 16:31:22 3: Training loss is: 0.007; Testing loss is: 0.028
18/03/2022 16:42:37 3: Training loss is: 0.015; Testing loss is: 0.014
18/03/2022 16:54:51 3: Training loss is: 0.017; Testing loss is: 0.106
18/03/2022 17:06:32 3: Training loss is: 0.018; Testing loss is: 0.008
18/03/2022 17:18:31 3: Training loss is: 0.020; Testing loss is: 0.078
18/03/2022 17:31:50 3: Training loss is: 0.014; Testing loss is: 0.038
18/03/2022 17:45:20 3: Training loss is: 0.022; Testing loss is: 0.013
18/03/2022 17:58:38 3: Training loss is: 0.015; Testing loss is: 0.178
18/03/2022 18:12:35 3: Training loss is: 0.004; Testing loss is: 0.010
18/03/2022 18:26:48 3: Training loss is: 0.022; Testing loss is: 0.020
18/03/2022 18:41:12 3: Training loss is: 0.005; Testing loss is: 0.242
18/03/2022 18:56:04 3: Training loss is: 0.012; Testing loss is: 0.030
18/03/2022 18:56:55 4: Training loss is: 2.959; Testing loss is: 7.722
